hour,Glucose,Lactate,Ammonia,Glutamine,Glutamate
0,34.2481151047509,NA,0.554371049413309,7.66388394690023,2.24291442941616
0,33.8040552654673,NA,0.554371049413309,7.93759408786096,2.24291442941616
0,NA,NA,NA,8.07444915834132,NA
102,26.088515557914,18.2060390763766,5.54371049413309,4.65307239633229,2.37884863725957
102,26.0330080780036,18.3170515097691,5.59914759907442,NA,2.37884863725957
102,23.0911116427494,20.3152753108348,5.54371049413309,4.92678253729301,2.31088153333786
102,23.9237238414062,20.5373001776199,5.59914759907442,4.92678253729301,2.44681574118127
102,23.3686490423017,20.2042628774423,5.54371049413309,4.92678253729301,2.31088153333786
108,21.8699470847194,21.5364120781528,6.15351864848773,4.65307239633229,2.44681574118127
108,21.8144396048089,21.9804618117229,6.20895575342906,4.51621732585192,2.37884863725957
114,20.9818274061521,15.9857904085258,6.54157838307705,4.65307239633229,2.37884863725957
114,21.2038573257939,15.7637655417407,6.54157838307705,4.78992746681265,2.37884863725957
114,21.4813947253462,15.7637655417407,6.48614127813572,4.78992746681265,2.37884863725957
120,19.9271852878535,16.2078152753108,7.20682364237302,4.2425071848912,2.37884863725957
120,19.5386329284803,16.3188277087034,7.26226074731435,4.2425071848912,2.37884863725957
120,20.0382002476744,16.4298401420959,6.92963811766636,4.51621732585192,2.37884863725957
120,20.4267526070476,16.3188277087034,6.92963811766636,4.65307239633229,2.44681574118127
120,20.6487825266894,16.0968028419183,6.87420101272503,4.65307239633229,2.37884863725957
126,18.9835581293757,16.651865008881,7.539446272021,4.2425071848912,2.44681574118127
126,18.8170356896444,16.7628774422735,7.59488337696234,3.96879704393048,2.37884863725957
126,18.9280506494653,21.0923623445826,7.48400916707967,3.69508690296976,2.24291442941616
126,18.8725431695548,20.5373001776199,7.48400916707967,3.83194197345012,2.37884863725957
126,19.4831254485698,20.5373001776199,7.42857206213834,3.83194197345012,2.31088153333786
132,17.7623935713457,21.2033747779751,8.03838021649298,3.42137676200903,2.31088153333786
132,17.2628262521516,20.6483126110124,8.09381732143431,3.28452169152867,2.24291442941616
138,16.6522439731366,23.3126110124334,8.53731416096496,3.55823183248939,2.31088153333786
138,17.2628262521516,23.5346358792185,8.53731416096496,3.69508690296976,2.31088153333786
138,17.7623935713457,23.0905861456483,8.37100284614097,3.69508690296976,2.37884863725957
144,15.6531093347484,23.3126110124334,9.09168521037827,3.01081155056795,2.24291442941616
144,NA,NA,NA,2.80552894484741,NA
144,15.4310794151066,23.645648312611,9.1471223153196,2.87395648008759,2.31088153333786
144,NA,NA,NA,2.80552894484741,NA
18,33.9150702252882,3.55239786856128,1.10874209882662,7.52702887641987,2.24291442941616
18,NA,NA,NA,7.66388394690023,NA
18,34.0260851851091,2.7753108348135,1.16417920376795,7.80073901738059,2.31088153333786
24,34.2481151047509,3.99644760213144,1.49680183341593,7.39017380593951,2.24291442941616
