unique_ID,replicate,ID,hour,Glucose,Lactate,Ammonia,Glutamine,Glutamate
DGpar-8mMCD_0_1,1,DGpar-8mMCD,0,34.0815926650196,NA,0.665245259295971,8.4850143697824,2.03901311765106
DGpar-8mMCD_0_2,2,DGpar-8mMCD,0,33.6930403056464,NA,0.665245259295971,8.62186944026276,2.03901311765106
DGpar-8mMCD_0_4,4,DGpar-8mMCD,0,33.5820253458255,NA,0.60980815435464,8.21130422882168,2.10698022157276
DGpar-8mMCD_102_1,1,DGpar-8mMCD,102,29.9185316717354,12.4333925399645,4.6567168150718,5.88476803065554,2.31088153333786
DGpar-8mMCD_102_3,3,DGpar-8mMCD,102,28.641859633795,13.5435168738899,4.98933944471978,5.61105788969481,2.31088153333786
DGpar-8mMCD_117_4,4,DGpar-8mMCD,117,27.6982324753172,13.765541740675,5.48827338919176,5.20049267825373,2.31088153333786
DGpar-8mMCD_117_5,5,DGpar-8mMCD,117,28.530844673974,13.4325044404973,5.10021365460244,5.47420281921445,2.24291442941616
DGpar-8mMCD_117_6,6,DGpar-8mMCD,117,27.4762025556754,13.4325044404973,5.3773991793091,5.33734774873409,2.24291442941616
DGpar-8mMCD_12_1,1,DGpar-8mMCD,12,34.0260851851091,NA,1.05330499388529,8.75872451074312,2.03901311765106
DGpar-8mMCD_12_2,2,DGpar-8mMCD,12,33.1934729864523,NA,1.05330499388529,9.03243465170385,1.97104601372936
DGpar-8mMCD_12_3,3,DGpar-8mMCD,12,33.8595627453778,NA,1.16417920376795,8.89557958122349,2.03901311765106
DGpar-8mMCD_123_1,1,DGpar-8mMCD,123,27.0876501963022,13.98756660746,5.76545891389841,4.65307239633229,2.31088153333786
DGpar-8mMCD_123_2,2,DGpar-8mMCD,123,27.3651875958545,13.6545293072824,5.82089601883975,4.78992746681265,2.31088153333786
DGpar-8mMCD_123_3,3,DGpar-8mMCD,123,26.8101127967499,13.6545293072824,6.0980815435464,4.51621732585192,2.37884863725957
DGpar-8mMCD_141_4,4,DGpar-8mMCD,141,25.3669183190781,13.2104795737123,6.70788969790104,2.87395648008759,2.51478284510297
DGpar-8mMCD_141_5,5,DGpar-8mMCD,141,25.9775005980931,12.9884547069272,6.43070417319439,3.14766662104831,2.44681574118127
DGpar-8mMCD_141_6,6,DGpar-8mMCD,141,25.9775005980931,13.0994671403197,6.70788969790104,3.01081155056795,2.51478284510297
DGpar-8mMCD_147_1,1,DGpar-8mMCD,147,24.1457537610481,13.5435168738899,6.70788969790104,2.73710140960723,2.58274994902467
DGpar-8mMCD_147_2,2,DGpar-8mMCD,147,24.867350999884,13.2104795737123,6.87420101272503,2.4633912686465,2.58274994902467
DGpar-8mMCD_147_3,3,DGpar-8mMCD,147,22.425021883824,12.7664298401421,6.65245259295971,2.18968112768578,2.37884863725957
DGpar-8mMCD_167_4,4,DGpar-8mMCD,167,23.9237238414062,13.3214920071048,7.48400916707967,2.05282605720542,2.78665126078978
DGpar-8mMCD_167_5,5,DGpar-8mMCD,167,24.6453210802422,13.0994671403197,7.37313495719701,2.18968112768578,2.71868415686808
DGpar-8mMCD_167_6,6,DGpar-8mMCD,167,24.0902462811376,13.0994671403197,7.48400916707967,2.18968112768578,2.78665126078978
DGpar-8mMCD_173_1,1,DGpar-8mMCD,173,23.035604162839,13.6545293072824,7.59488337696234,1.7791159162447,2.78665126078978
DGpar-8mMCD_173_2,2,DGpar-8mMCD,173,23.3131415623912,13.5435168738899,7.65032048190367,1.91597098672506,2.78665126078978
DGpar-8mMCD_173_3,3,DGpar-8mMCD,173,23.2021266025703,13.6545293072824,7.76119469178633,1.7791159162447,2.78665126078978
DGpar-8mMCD_18_4,4,DGpar-8mMCD,18,33.4155029060941,NA,1.16417920376795,8.21130422882168,2.03901311765106
DGpar-8mMCD_18_5,5,DGpar-8mMCD,18,33.526517865915,NA,1.05330499388529,8.4850143697824,2.03901311765106
DGpar-8mMCD_18_6,6,DGpar-8mMCD,18,33.0269505467209,NA,1.16417920376795,8.62186944026276,2.03901311765106
DGpar-8mMCD_24_3,3,DGpar-8mMCD,24,32.6939056672582,NA,1.4413647284746,8.07444915834132,2.10698022157276
DGpar-8mMCD_24_5,5,DGpar-8mMCD,24,33.6375328257359,NA,1.27505341365061,8.07444915834132,1.97104601372936
DGpar-8mMCD_24_6,6,DGpar-8mMCD,24,33.7485477855568,NA,1.38592762353327,8.21130422882168,2.03901311765106
DGpar-8mMCD_30_2,2,DGpar-8mMCD,30,33.0269505467209,NA,1.55223893835727,7.80073901738059,2.03901311765106
DGpar-8mMCD_30_6,6,DGpar-8mMCD,30,34.5811599842137,NA,1.6076760432986,8.07444915834132,2.10698022157276
DGpar-8mMCD_30_7,7,DGpar-8mMCD,30,33.5820253458255,NA,1.55223893835727,8.07444915834132,2.03901311765106
DGpar-8mMCD_30_8,8,DGpar-8mMCD,30,33.7485477855568,NA,1.6076760432986,8.34815929930204,2.03901311765106
DGpar-8mMCD_36_1,1,DGpar-8mMCD,36,34.1926076248405,NA,1.82942446306392,8.21130422882168,2.03901311765106
DGpar-8mMCD_36_2,2,DGpar-8mMCD,36,33.6375328257359,NA,1.82942446306392,7.93759408786096,2.03901311765106
DGpar-8mMCD_36_3,3,DGpar-8mMCD,36,34.0815926650196,NA,1.94029867294658,7.80073901738059,2.03901311765106
DGpar-8mMCD_42_4,4,DGpar-8mMCD,42,34.13710014493,NA,1.99573577788791,8.62186944026276,2.03901311765106
DGpar-8mMCD_42_5,5,DGpar-8mMCD,42,33.7485477855568,NA,1.88486156800525,8.89557958122349,2.03901311765106
DGpar-8mMCD_42_6,6,DGpar-8mMCD,42,33.9705777051987,NA,1.99573577788791,8.75872451074312,2.03901311765106
DGpar-8mMCD_48_1,1,DGpar-8mMCD,48,33.6930403056464,NA,2.27292130259457,8.4850143697824,2.03901311765106
DGpar-8mMCD_48_5,5,DGpar-8mMCD,48,33.6375328257359,NA,1.99573577788791,7.80073901738059,2.10698022157276
DGpar-8mMCD_48_8,8,DGpar-8mMCD,48,33.5820253458255,NA,2.27292130259457,8.75872451074312,2.10698022157276
DGpar-8mMCD_48_9,9,DGpar-8mMCD,48,33.1934729864523,NA,2.21748419765324,9.03243465170385,2.03901311765106
DGpar-8mMCD_54_2,2,DGpar-8mMCD,54,32.6939056672582,2.33126110124334,2.3283584075359,7.39017380593951,2.17494732549446
DGpar-8mMCD_54_3,3,DGpar-8mMCD,54,33.1379655065418,3.10834813499112,2.49466972235989,7.39017380593951,2.17494732549446
DGpar-8mMCD_54_7,7,DGpar-8mMCD,54,33.6930403056464,NA,2.38379551247723,7.93759408786096,2.17494732549446
DGpar-8mMCD_6_2,2,DGpar-8mMCD,6,32.8604281069896,NA,0.776119469178633,8.07444915834132,2.10698022157276
DGpar-8mMCD_6_3,3,DGpar-8mMCD,6,33.9150702252882,NA,0.942430784002626,8.07444915834132,2.17494732549446
DGpar-8mMCD_6_5,5,DGpar-8mMCD,6,33.526517865915,NA,0.776119469178633,9.16928972218421,2.03901311765106
DGpar-8mMCD_60_1,1,DGpar-8mMCD,60,32.8049206270791,2.44227353463588,2.66098103718388,7.93759408786096,2.17494732549446
DGpar-8mMCD_60_2,2,DGpar-8mMCD,60,32.2498458279745,3.10834813499112,2.66098103718388,7.93759408786096,2.17494732549446
DGpar-8mMCD_60_3,3,DGpar-8mMCD,60,32.3608607877955,3.77442273534636,2.82729235200788,7.80073901738059,2.31088153333786
DGpar-8mMCD_66_4,4,DGpar-8mMCD,66,33.4710103860046,3.10834813499112,2.88272945694921,7.93759408786096,2.17494732549446
DGpar-8mMCD_66_5,5,DGpar-8mMCD,66,33.526517865915,2.2202486678508,2.71641814212521,8.21130422882168,2.10698022157276
DGpar-8mMCD_66_6,6,DGpar-8mMCD,66,33.4710103860046,2.88632326820604,2.88272945694921,8.07444915834132,2.10698022157276
DGpar-8mMCD_72_1,1,DGpar-8mMCD,72,32.7494131471687,3.77442273534636,3.0490407717732,7.66388394690023,2.17494732549446
DGpar-8mMCD_72_3,3,DGpar-8mMCD,72,31.69477102887,5.77264653641208,3.32622629647985,7.80073901738059,2.10698022157276
DGpar-8mMCD_72_4,4,DGpar-8mMCD,72,31.4172336293177,5.21758436944938,3.15991498165586,7.39017380593951,2.17494732549446
DGpar-8mMCD_78_2,2,DGpar-8mMCD,78,30.9176663101236,6.6607460035524,3.38166340142119,6.84275352401807,2.17494732549446
DGpar-8mMCD_78_3,3,DGpar-8mMCD,78,30.3625915110191,8.10390763765542,3.60341182118651,6.7058984535377,2.17494732549446
DGpar-8mMCD_78_4,4,DGpar-8mMCD,78,32.2498458279745,7.10479573712256,3.38166340142119,7.25331873545915,2.24291442941616
DGpar-8mMCD_84_1,1,DGpar-8mMCD,84,32.3608607877955,8.43694493783304,3.71428603106917,6.7058984535377,2.24291442941616
DGpar-8mMCD_84_2,2,DGpar-8mMCD,84,31.6392635489595,9.10301953818828,3.7697231360105,6.84275352401807,2.24291442941616
DGpar-8mMCD_84_3,3,DGpar-8mMCD,84,30.47360647084,10.2131438721137,3.93603445083449,6.7058984535377,2.24291442941616
DGpar-8mMCD_90_4,4,DGpar-8mMCD,90,30.5291139507504,10.5461811722913,4.04690866071716,7.11646366497879,2.17494732549446
DGpar-8mMCD_90_5,5,DGpar-8mMCD,90,31.8612934686014,8.3259325044405,3.7697231360105,7.39017380593951,2.17494732549446
DGpar-8mMCD_90_6,6,DGpar-8mMCD,90,31.084188749855,9.4360568383659,3.99147155577583,7.11646366497879,2.24291442941616
DGpar-8mMCD_96_2,2,DGpar-8mMCD,96,30.3070840311086,11.5452930728242,4.37953129036514,6.84275352401807,2.17494732549446
DGpar-8mMCD_96_4,4,DGpar-8mMCD,96,30.47360647084,11.7673179396092,4.37953129036514,6.29533324209662,2.31088153333786
DGpar-8mMCD_96_6,6,DGpar-8mMCD,96,31.1396962297654,11.3232682060391,4.32409418542381,6.15847817161626,2.24291442941616
DXepo-0mMCD_0_4,4,DXepo-0mMCD,0,39.0772658569606,NA,0.388059734589316,NA,2.31088153333786
DXepo-0mMCD_0_5,5,DXepo-0mMCD,0,38.522191057856,NA,0.388059734589316,NA,2.31088153333786
DXepo-0mMCD_0_6,6,DXepo-0mMCD,0,39.9098780556174,NA,0.388059734589316,NA,2.37884863725957
DXepo-0mMCD_102_2,2,DXepo-0mMCD,102,31.7502785087804,8.3259325044405,1.82942446306392,NA,2.24291442941616
DXepo-0mMCD_102_3,3,DXepo-0mMCD,102,32.3608607877955,8.10390763765542,1.82942446306392,NA,2.24291442941616
DXepo-0mMCD_102_4,4,DXepo-0mMCD,102,34.8586973837659,6.77175843694494,1.77398735812259,NA,2.17494732549446
DXepo-0mMCD_102_5,5,DXepo-0mMCD,102,33.8595627453778,8.21492007104796,1.88486156800525,NA,2.10698022157276
DXepo-0mMCD_102_6,6,DXepo-0mMCD,102,34.13710014493,8.43694493783304,1.94029867294658,NA,2.10698022157276
DXepo-0mMCD_108_1,1,DXepo-0mMCD,108,33.4710103860046,8.10390763765542,1.88486156800525,NA,2.10698022157276
DXepo-0mMCD_108_3,3,DXepo-0mMCD,108,32.8049206270791,8.99200710479574,1.94029867294658,NA,2.10698022157276
DXepo-0mMCD_114_4,4,DXepo-0mMCD,114,32.6939056672582,9.88010657193606,2.10660998777057,NA,2.03901311765106
DXepo-0mMCD_114_5,5,DXepo-0mMCD,114,32.1943383480641,10.9902309058615,2.27292130259457,NA,1.97104601372936
